credit_risk_70;;;;;;;;;
loan_status;person_income;person_home_ownership;person_emp_length;loan_intent;loan_grade;loan_amnt;loan_int_rate;loan_percent_income;cb_person_default_on_file
0;44000;MORTGAGE;4.0;EDUCATION;A;3200;7.51;0.07;N
0;75000;RENT;0.0;EDUCATION;B;14400;12.53;0.19;N
0;95000;MORTGAGE;1.0;HOMEIMPROVEMENT;C;13200;12.99;0.14;Y
0;46596;RENT;2.0;DEBTCONSOLIDATION;B;13200;12.53;0.28;N
1;30000;RENT;0.0;PERSONAL;C;11525;13.57;0.38;Y
0;50000;MORTGAGE;3.0;PERSONAL;A;6000;6.76;0.12;N
1;47500;RENT;10.0;PERSONAL;E;19000;16.70;0.40;Y
1;120000;MORTGAGE;0.0;HOMEIMPROVEMENT;C;10000;12.61;0.08;N
0;70000;MORTGAGE;7.0;PERSONAL;B;15000;10.38;0.21;N
1;54000;MORTGAGE;0.0;PERSONAL;D;12000;16.49;0.22;N
1;37232;RENT;3.0;MEDICAL;B;17500;12.53;0.47;N
0;66000;MORTGAGE;10.0;DEBTCONSOLIDATION;B;7000;9.91;0.11;N
0;45600;RENT;2.0;MEDICAL;B;6500;10.99;0.14;N
0;170000;RENT;3.0;DEBTCONSOLIDATION;B;12075;12.42;0.07;N
0;48000;MORTGAGE;6.0;PERSONAL;A;6200;7.29;0.13;N
1;30000;RENT;2.0;VENTURE;D;12000;14.46;0.40;N
0;50000;MORTGAGE;9.0;PERSONAL;A;10000;6.92;0.20;N
0;60000;MORTGAGE;2.0;PERSONAL;B;6900;9.99;0.12;N
0;38400;OWN;5.0;EDUCATION;B;7675;10.00;0.20;N
0;50000;RENT;6.0;EDUCATION;B;10000;10.99;0.20;N
0;78500;RENT;2.0;HOMEIMPROVEMENT;C;5000;14.27;0.06;Y
0;190000;MORTGAGE;3.0;VENTURE;B;20000;12.18;0.11;N
0;120000;RENT;4.0;HOMEIMPROVEMENT;C;10000;13.61;0.08;Y
1;88000;MORTGAGE;3.0;HOMEIMPROVEMENT;B;6000;11.99;0.07;N
0;60000;RENT;5.0;MEDICAL;A;10000;7.88;0.17;N
0;85000;MORTGAGE;2.0;HOMEIMPROVEMENT;A;10000;7.88;0.12;N
0;45000;RENT;2.0;DEBTCONSOLIDATION;A;11250;9.38;0.25;N
0;65000;RENT;11.0;HOMEIMPROVEMENT;C;6000;14.65;0.09;Y
0;69000;MORTGAGE;2.0;EDUCATION;A;10000;8.94;0.14;N
0;300000;MORTGAGE;12.0;EDUCATION;C;10125;15.23;0.03;N
0;64800;MORTGAGE;5.0;EDUCATION;B;2000;11.99;0.03;N
0;75000;MORTGAGE;0.0;PERSONAL;D;19800;15.57;0.26;Y
0;90000;RENT;0.0;DEBTCONSOLIDATION;B;12000;10.99;0.13;N
0;74004;OWN;2.0;EDUCATION;D;5000;14.09;0.07;N
1;39915;RENT;15.0;VENTURE;A;20000;7.49;0.50;N
0;47000;RENT;1.0;MEDICAL;B;13000;10.99;0.28;N
0;35500;MORTGAGE;0.0;EDUCATION;C;4000;12.53;0.11;N
0;65004;MORTGAGE;6.0;MEDICAL;B;6500;9.25;0.10;N
0;85000;OWN;3.0;EDUCATION;F;10000;18.43;0.12;Y
0;55000;OWN;7.0;VENTURE;A;20000;7.49;0.36;N
1;50000;RENT;3.0;PERSONAL;C;17000;13.79;0.34;N
1;18000;RENT;3.0;DEBTCONSOLIDATION;B;3000;10.59;0.17;N
0;85000;MORTGAGE;8.0;VENTURE;B;7500;10.99;0.09;N
0;85000;RENT;4.0;MEDICAL;A;10000;6.62;0.12;N
0;115900;MORTGAGE;16.0;PERSONAL;A;12000;7.88;0.10;N
0;61000;MORTGAGE;2.0;MEDICAL;A;18200;7.51;0.30;N
0;135000;OWN;0.0;PERSONAL;A;6275;6.91;0.05;N
1;54000;OWN;13.0;DEBTCONSOLIDATION;E;6500;16.45;0.12;Y
0;100000;MORTGAGE;0.0;EDUCATION;A;11000;8.49;0.11;N
0;104000;MORTGAGE;8.0;EDUCATION;C;25000;12.84;0.24;N
1;30000;RENT;4.0;MEDICAL;A;10000;7.51;0.33;N
0;60000;MORTGAGE;6.0;VENTURE;A;10000;5.42;0.17;N
0;45336;RENT;6.0;VENTURE;D;1800;15.21;0.04;N
1;36500;RENT;5.0;EDUCATION;A;14125;8.90;0.39;N
0;60000;RENT;0.0;EDUCATION;C;12000;13.47;0.20;Y
0;78300;RENT;0.0;HOMEIMPROVEMENT;A;5000;7.74;0.06;N
0;24000;MORTGAGE;2.0;EDUCATION;A;1500;7.14;0.06;N
0;27000;RENT;11.0;EDUCATION;B;1500;10.36;0.06;N
1;46000;RENT;2.0;EDUCATION;F;12800;19.41;0.28;Y
1;35000;RENT;5.0;VENTURE;C;13225;13.49;0.38;Y
0;98000;MORTGAGE;11.0;VENTURE;B;17000;8.88;0.17;N
1;49000;RENT;4.0;VENTURE;D;6000;15.99;0.12;N
1;49500;MORTGAGE;7.0;VENTURE;C;4750;15.27;0.10;N
0;120000;MORTGAGE;2.0;EDUCATION;B;4200;12.69;0.04;N
0;41000;RENT;2.0;EDUCATION;C;7000;13.49;0.17;Y
0;50508;RENT;5.0;VENTURE;A;6000;5.42;0.12;N
0;58000;RENT;4.0;PERSONAL;C;5000;13.85;0.09;N
0;120000;MORTGAGE;3.0;MEDICAL;C;5000;14.79;0.04;N
0;35000;RENT;5.0;VENTURE;F;4250;16.96;0.12;N
0;38400;RENT;5.0;EDUCATION;B;4000;10.59;0.10;N
0;30000;RENT;4.0;VENTURE;B;3350;10.99;0.11;N
1;76500;RENT;0.0;DEBTCONSOLIDATION;C;8000;14.26;0.10;N
0;99780;MORTGAGE;14.0;HOMEIMPROVEMENT;B;6000;11.14;0.06;N
1;61455;MORTGAGE;0.0;MEDICAL;E;15000;16.82;0.21;N
0;20800;RENT;3.0;VENTURE;F;4000;19.41;0.19;N
1;56000;MORTGAGE;2.0;HOMEIMPROVEMENT;A;10000;6.91;0.18;N
0;92500;RENT;4.0;DEBTCONSOLIDATION;A;13050;7.66;0.14;N
0;50000;MORTGAGE;9.0;PERSONAL;A;10000;6.92;0.20;N
0;42000;RENT;2.0;MEDICAL;C;6500;13.49;0.15;Y
0;24000;RENT;3.0;MEDICAL;A;6000;6.62;0.25;N
0;65000;MORTGAGE;3.0;VENTURE;A;6500;5.79;0.10;N
0;106000;MORTGAGE;7.0;EDUCATION;A;10000;7.14;0.09;N
1;21600;RENT;1.0;EDUCATION;D;2400;16.29;0.11;N
1;143000;MORTGAGE;7.0;DEBTCONSOLIDATION;D;24250;14.59;0.17;Y
0;35000;RENT;1.0;MEDICAL;B;8000;12.21;0.23;N
0;60000;OWN;0.0;VENTURE;A;13250;7.90;0.22;N
0;115600;MORTGAGE;4.0;VENTURE;A;9925;7.29;0.09;N
0;60500;MORTGAGE;6.0;EDUCATION;A;12000;8.94;0.20;N
0;38400;MORTGAGE;8.0;HOMEIMPROVEMENT;B;10000;10.99;0.26;N
0;90000;MORTGAGE;8.0;DEBTCONSOLIDATION;C;19750;13.61;0.22;Y
0;43200;MORTGAGE;0.0;VENTURE;A;3000;8.90;0.07;N
0;65000;MORTGAGE;8.0;PERSONAL;A;2500;6.39;0.04;N
0;148000;MORTGAGE;6.0;DEBTCONSOLIDATION;A;15000;7.66;0.10;N
0;22300;OWN;1.0;PERSONAL;C;3775;15.27;0.17;N
0;90000;RENT;2.0;PERSONAL;A;10000;7.49;0.11;N
0;63000;MORTGAGE;9.0;DEBTCONSOLIDATION;B;4500;8.88;0.07;N
0;60000;MORTGAGE;0.0;PERSONAL;A;4000;7.90;0.07;N
0;60000;RENT;12.0;DEBTCONSOLIDATION;A;4600;7.88;0.08;N
0;24000;RENT;0.0;EDUCATION;A;5000;7.51;0.21;N
0;33600;RENT;0.0;PERSONAL;C;7000;13.61;0.21;Y
0;80000;MORTGAGE;12.0;DEBTCONSOLIDATION;A;12000;6.03;0.15;N
1;59354;MORTGAGE;5.0;MEDICAL;D;9600;13.67;0.14;Y
0;55800;MORTGAGE;1.0;PERSONAL;B;4000;10.75;0.07;N
0;100000;RENT;5.0;EDUCATION;A;13500;8.90;0.14;N
0;26400;MORTGAGE;4.0;MEDICAL;A;5000;7.14;0.19;N
0;50000;MORTGAGE;3.0;VENTURE;B;15000;9.88;0.30;N
1;138000;MORTGAGE;13.0;HOMEIMPROVEMENT;B;10000;10.99;0.07;N
0;119004;MORTGAGE;13.0;PERSONAL;B;5000;11.49;0.04;N
0;25000;MORTGAGE;4.0;MEDICAL;A;11500;7.29;0.46;N
0;24000;RENT;6.0;MEDICAL;B;6000;10.65;0.25;N
0;27700;RENT;5.0;PERSONAL;A;4800;6.62;0.17;N
1;43000;RENT;9.0;HOMEIMPROVEMENT;C;22000;13.11;0.51;N
1;34000;RENT;0.0;HOMEIMPROVEMENT;B;5925;11.11;0.17;N
1;20796;RENT;1.0;DEBTCONSOLIDATION;D;10775;15.37;0.52;Y
0;53000;RENT;6.0;VENTURE;B;12000;11.11;0.23;N
0;36000;RENT;1.0;VENTURE;C;4300;10.91;0.12;Y
1;34000;RENT;0.0;DEBTCONSOLIDATION;B;11500;11.49;0.34;N
0;71200;RENT;2.0;VENTURE;B;11000;12.42;0.15;N
0;90000;MORTGAGE;4.0;VENTURE;B;1700;10.75;0.02;N
0;91700;RENT;1.0;EDUCATION;B;6500;9.88;0.07;N
0;88500;MORTGAGE;5.0;MEDICAL;C;2700;14.27;0.03;N
0;140000;OWN;6.0;EDUCATION;C;16400;15.96;0.12;N
0;31200;RENT;2.0;MEDICAL;A;9400;6.91;0.30;N
0;45600;RENT;0.0;DEBTCONSOLIDATION;A;11200;5.79;0.25;N
0;58752;RENT;8.0;MEDICAL;B;3000;10.01;0.05;N
0;26000;MORTGAGE;8.0;MEDICAL;A;7000;7.74;0.27;N
0;53004;MORTGAGE;10.0;DEBTCONSOLIDATION;B;5600;11.86;0.11;N
0;53796;MORTGAGE;12.0;HOMEIMPROVEMENT;B;7000;9.91;0.13;N
1;32000;RENT;9.0;VENTURE;C;5000;14.27;0.16;Y
0;54000;MORTGAGE;5.0;VENTURE;A;11000;5.42;0.20;N
0;140000;OWN;13.0;VENTURE;B;20800;11.48;0.15;N
0;54000;RENT;7.0;PERSONAL;B;12000;10.62;0.22;N
0;60000;RENT;2.0;MEDICAL;B;5125;11.86;0.09;N
1;33600;RENT;1.0;DEBTCONSOLIDATION;B;10000;9.88;0.30;N
0;38000;RENT;0.0;DEBTCONSOLIDATION;B;6025;10.99;0.16;N
0;65496;RENT;6.0;VENTURE;B;10000;11.11;0.15;N
0;51500;RENT;1.0;VENTURE;B;12000;12.53;0.23;N
0;69000;MORTGAGE;6.0;PERSONAL;C;7800;12.41;0.11;Y
1;41000;RENT;4.0;DEBTCONSOLIDATION;B;8000;9.91;0.20;N
0;121000;MORTGAGE;3.0;HOMEIMPROVEMENT;A;16800;6.91;0.14;N
0;50000;RENT;4.0;DEBTCONSOLIDATION;A;6000;5.79;0.12;N
0;68000;MORTGAGE;3.0;DEBTCONSOLIDATION;A;10000;5.79;0.15;N
0;50000;RENT;6.0;DEBTCONSOLIDATION;A;5000;5.42;0.10;N
0;83000;RENT;0.0;VENTURE;A;12000;7.51;0.14;N
1;151000;MORTGAGE;11.0;DEBTCONSOLIDATION;D;20000;14.74;0.13;Y
1;23400;RENT;5.0;EDUCATION;D;7000;15.70;0.30;Y
0;80000;RENT;3.0;HOMEIMPROVEMENT;C;17000;13.85;0.21;Y
0;35000;OWN;11.0;MEDICAL;C;4200;12.99;0.12;Y
0;45000;RENT;0.0;MEDICAL;A;5000;7.88;0.11;N
1;34000;MORTGAGE;3.0;EDUCATION;C;10000;13.85;0.29;Y
0;40900;OWN;5.0;MEDICAL;B;12200;11.36;0.30;N
0;36000;RENT;2.0;VENTURE;B;10000;11.14;0.28;N
0;85000;MORTGAGE;1.0;PERSONAL;A;12000;9.32;0.14;N
0;27600;RENT;2.0;MEDICAL;B;7000;9.76;0.25;N
1;25000;MORTGAGE;1.0;VENTURE;C;12000;12.09;0.48;N
0;63720;MORTGAGE;8.0;HOMEIMPROVEMENT;A;12500;7.51;0.20;N
0;75000;OWN;6.0;MEDICAL;A;11000;8.49;0.15;N
0;23400;RENT;2.0;PERSONAL;A;4000;7.49;0.17;N
0;75000;MORTGAGE;6.0;DEBTCONSOLIDATION;A;16000;7.88;0.21;N
0;37500;RENT;3.0;EDUCATION;D;10000;14.91;0.27;Y
0;58000;RENT;1.0;VENTURE;B;8000;11.36;0.14;N
1;33000;RENT;0.0;DEBTCONSOLIDATION;D;6000;15.62;0.18;N
0;153000;MORTGAGE;9.0;EDUCATION;C;14500;13.85;0.09;N
1;45000;RENT;0.0;EDUCATION;A;20000;7.90;0.44;N
0;50000;RENT;0.0;VENTURE;B;5000;11.89;0.10;N
0;69000;MORTGAGE;1.0;VENTURE;B;19000;9.51;0.28;N
0;40560;MORTGAGE;8.0;DEBTCONSOLIDATION;A;3000;7.29;0.07;N
0;58000;RENT;5.0;MEDICAL;A;6400;7.51;0.11;N
0;85000;OTHER;4.0;HOMEIMPROVEMENT;B;16000;11.89;0.19;N
0;33800;OWN;4.0;EDUCATION;D;13000;15.31;0.38;Y
0;31200;RENT;7.0;PERSONAL;B;9000;10.38;0.29;N
0;67000;MORTGAGE;1.0;EDUCATION;E;16000;16.32;0.24;Y
0;49000;RENT;2.0;EDUCATION;A;7750;9.63;0.16;N
0;48500;MORTGAGE;8.0;PERSONAL;B;6000;10.25;0.12;N
0;144000;MORTGAGE;2.0;EDUCATION;A;12000;7.49;0.08;N
0;92700;MORTGAGE;2.0;VENTURE;B;25000;10.99;0.27;N
0;55000;RENT;4.0;VENTURE;A;5000;8.00;0.09;N
0;76000;MORTGAGE;8.0;HOMEIMPROVEMENT;A;5000;6.03;0.07;N
0;42000;RENT;0.0;MEDICAL;B;8500;11.14;0.20;N
0;31200;RENT;2.0;PERSONAL;B;6400;11.49;0.21;N
0;124000;MORTGAGE;11.0;HOMEIMPROVEMENT;A;2000;5.42;0.02;N
1;108000;RENT;10.0;HOMEIMPROVEMENT;B;9000;11.86;0.08;N
0;70000;RENT;8.0;VENTURE;A;7125;6.92;0.10;N
1;29000;RENT;2.0;EDUCATION;B;10500;9.99;0.36;N
1;22000;RENT;3.0;EDUCATION;C;9600;13.16;0.44;N
0;64000;MORTGAGE;2.0;HOMEIMPROVEMENT;A;8000;6.91;0.13;N
1;73000;RENT;0.0;EDUCATION;D;8550;14.30;0.12;N
1;61000;RENT;2.0;DEBTCONSOLIDATION;D;11000;16.02;0.18;Y
0;122500;MORTGAGE;4.0;EDUCATION;A;9150;6.03;0.07;N
0;61000;MORTGAGE;9.0;HOMEIMPROVEMENT;B;15000;9.88;0.25;N
0;36000;RENT;1.0;MEDICAL;C;4000;13.61;0.11;Y
0;48000;RENT;12.0;PERSONAL;D;12500;15.95;0.26;N
0;40000;MORTGAGE;1.0;HOMEIMPROVEMENT;A;4000;7.29;0.10;N
0;47000;RENT;1.0;EDUCATION;C;6000;12.87;0.13;Y
1;30000;RENT;0.0;PERSONAL;B;12000;11.48;0.40;N
0;60000;RENT;0.0;HOMEIMPROVEMENT;B;6000;11.48;0.10;N
0;900000;MORTGAGE;11.0;DEBTCONSOLIDATION;B;30000;12.69;0.03;N
0;77000;MORTGAGE;2.0;PERSONAL;B;25000;12.18;0.32;N
1;44000;RENT;5.0;PERSONAL;C;2800;14.17;0.06;N
1;69000;RENT;1.0;EDUCATION;B;12000;11.26;0.17;N
0;39480;MORTGAGE;2.0;EDUCATION;C;7200;13.79;0.18;N
0;112000;MORTGAGE;9.0;HOMEIMPROVEMENT;B;15000;11.12;0.13;N
0;60000;RENT;2.0;EDUCATION;B;12000;10.99;0.20;N
0;25000;MORTGAGE;4.0;VENTURE;A;1800;8.49;0.07;N
0;36000;OWN;24.0;VENTURE;A;8000;6.99;0.22;N
0;95400;MORTGAGE;8.0;PERSONAL;C;5000;12.68;0.05;N
0;41600;MORTGAGE;2.0;EDUCATION;A;4500;6.76;0.11;N
0;60000;MORTGAGE;2.0;PERSONAL;A;5200;5.99;0.09;N
0;28900;MORTGAGE;2.0;DEBTCONSOLIDATION;C;5500;12.98;0.19;Y
1;48000;RENT;3.0;DEBTCONSOLIDATION;D;8000;15.58;0.17;N
0;96000;MORTGAGE;9.0;PERSONAL;D;35000;18.25;0.36;Y
0;165000;RENT;3.0;EDUCATION;A;14950;6.62;0.09;N
0;75600;MORTGAGE;3.0;DEBTCONSOLIDATION;A;28000;7.49;0.37;N
0;56000;MORTGAGE;5.0;MEDICAL;B;12000;10.99;0.21;N
0;47000;OWN;4.0;MEDICAL;A;7000;7.51;0.15;N
0;100000;MORTGAGE;2.0;PERSONAL;A;10000;7.51;0.10;N
0;74000;RENT;4.0;PERSONAL;A;5050;5.42;0.07;N
0;80004;RENT;1.0;VENTURE;C;5000;13.47;0.06;Y
0;107364;MORTGAGE;12.0;HOMEIMPROVEMENT;A;8000;6.76;0.07;N
1;49000;MORTGAGE;6.0;EDUCATION;A;10000;8.00;0.20;N
0;50004;RENT;3.0;VENTURE;C;15000;13.72;0.30;Y
0;62000;RENT;1.0;HOMEIMPROVEMENT;A;6000;7.49;0.10;N
0;109000;OWN;15.0;VENTURE;A;16000;7.05;0.15;N
0;34000;RENT;6.0;DEBTCONSOLIDATION;B;8000;9.99;0.24;N
0;80000;OWN;2.0;EDUCATION;F;6000;19.13;0.07;Y
0;82000;MORTGAGE;2.0;HOMEIMPROVEMENT;E;10000;14.93;0.12;N
0;59147;MORTGAGE;11.0;MEDICAL;B;7000;11.26;0.12;N
0;30000;RENT;4.0;VENTURE;B;3350;10.99;0.11;N
0;85000;OWN;10.0;EDUCATION;B;10000;12.18;0.12;N
0;115000;MORTGAGE;9.0;MEDICAL;C;19000;13.49;0.17;Y
0;75885;MORTGAGE;7.0;MEDICAL;C;3000;11.03;0.04;Y
0;55530;MORTGAGE;8.0;HOMEIMPROVEMENT;A;8000;5.99;0.14;N
0;34800;RENT;3.0;MEDICAL;B;2000;11.71;0.06;N
0;67000;MORTGAGE;0.0;DEBTCONSOLIDATION;A;4000;7.49;0.06;N
0;85000;MORTGAGE;1.0;EDUCATION;B;18000;12.18;0.21;N
1;30000;RENT;4.0;PERSONAL;B;6000;10.99;0.20;N
0;103000;MORTGAGE;4.0;VENTURE;A;10000;7.51;0.10;N
1;45000;RENT;9.0;PERSONAL;B;14000;12.69;0.31;N
0;150000;MORTGAGE;11.0;PERSONAL;A;20000;7.90;0.13;N
0;65000;RENT;0.0;VENTURE;C;17000;13.47;0.26;N
0;15000;RENT;0.0;MEDICAL;B;1800;11.49;0.12;N
0;24000;RENT;0.0;EDUCATION;B;5000;11.86;0.21;N
0;62500;MORTGAGE;4.0;DEBTCONSOLIDATION;A;23525;7.90;0.38;N
0;92004;RENT;2.0;DEBTCONSOLIDATION;B;8000;11.49;0.09;N
0;53088;RENT;0.0;PERSONAL;A;6000;6.54;0.11;N
1;14800;RENT;5.0;DEBTCONSOLIDATION;A;2800;8.00;0.19;N
0;37000;RENT;2.0;EDUCATION;B;4000;10.95;0.11;N
0;171194;MORTGAGE;9.0;HOMEIMPROVEMENT;B;25000;11.12;0.15;N
0;93000;MORTGAGE;9.0;VENTURE;D;12000;16.77;0.13;Y
1;18000;RENT;2.0;VENTURE;B;3000;12.69;0.17;N
0;55000;MORTGAGE;8.0;DEBTCONSOLIDATION;A;10000;5.79;0.18;N
0;125000;MORTGAGE;2.0;DEBTCONSOLIDATION;C;20000;13.11;0.16;N
0;76000;RENT;3.0;DEBTCONSOLIDATION;B;12000;10.99;0.16;N
0;54000;MORTGAGE;8.0;VENTURE;A;3000;5.42;0.06;N
0;75000;MORTGAGE;8.0;MEDICAL;A;15000;7.51;0.20;N
1;35000;RENT;6.0;MEDICAL;C;11700;13.06;0.33;N
1;30000;RENT;12.0;MEDICAL;D;10000;17.58;0.33;N
1;75000;RENT;5.0;VENTURE;D;23850;16.29;0.32;N
0;40000;RENT;2.0;PERSONAL;C;3000;13.49;0.07;N
1;98000;RENT;2.0;DEBTCONSOLIDATION;E;15000;14.93;0.15;N
0;90080;MORTGAGE;9.0;HOMEIMPROVEMENT;A;5500;7.49;0.06;N
1;148000;MORTGAGE;0.0;HOMEIMPROVEMENT;D;15000;15.65;0.10;Y
0;52000;MORTGAGE;0.0;EDUCATION;A;10000;7.88;0.19;N
1;79000;MORTGAGE;7.0;DEBTCONSOLIDATION;D;16000;14.09;0.20;N
0;200000;RENT;14.0;VENTURE;B;25000;10.62;0.13;N
0;56000;RENT;7.0;EDUCATION;C;9000;13.35;0.16;N
0;94128;MORTGAGE;14.0;MEDICAL;A;4400;7.29;0.05;N
0;33204;RENT;7.0;MEDICAL;C;2000;14.72;0.06;Y
0;54000;RENT;6.0;EDUCATION;A;10000;7.90;0.19;N
0;100000;MORTGAGE;2.0;MEDICAL;A;16000;6.54;0.16;N
0;180000;RENT;4.0;PERSONAL;B;8000;10.37;0.04;N
1;59000;MORTGAGE;5.0;MEDICAL;B;25000;9.99;0.42;N
1;18000;RENT;0.0;DEBTCONSOLIDATION;A;6000;7.49;0.33;N
1;34000;RENT;4.0;PERSONAL;A;10000;6.62;0.29;N
0;70000;MORTGAGE;7.0;EDUCATION;A;8000;6.62;0.11;N
1;123000;RENT;8.0;PERSONAL;D;15000;15.37;0.12;N
0;125000;OWN;9.0;PERSONAL;A;15000;7.90;0.12;N
1;18000;RENT;2.0;DEBTCONSOLIDATION;C;5400;15.23;0.30;N
0;25000;RENT;1.0;EDUCATION;A;5000;7.51;0.20;N
0;26004;MORTGAGE;4.0;EDUCATION;A;5000;7.49;0.19;N
0;65000;MORTGAGE;8.0;HOMEIMPROVEMENT;A;10000;7.66;0.15;N
0;210000;MORTGAGE;9.0;HOMEIMPROVEMENT;B;8000;9.91;0.04;N
0;70000;RENT;5.0;PERSONAL;A;10000;6.03;0.14;N
0;75000;MORTGAGE;4.0;PERSONAL;B;20150;11.36;0.27;N
0;106000;MORTGAGE;9.0;EDUCATION;D;10000;15.33;0.09;Y
1;72000;RENT;4.0;EDUCATION;A;24000;7.66;0.33;N
0;70000;RENT;19.0;MEDICAL;B;2400;11.99;0.03;N
1;34000;RENT;4.0;PERSONAL;A;10000;6.62;0.29;N
0;72000;RENT;3.0;EDUCATION;A;6000;5.42;0.08;N
0;36000;MORTGAGE;7.0;MEDICAL;B;15000;11.83;0.42;N
0;66000;MORTGAGE;10.0;DEBTCONSOLIDATION;B;7000;9.91;0.11;N
1;42600;RENT;0.0;VENTURE;D;10000;15.62;0.23;Y
0;66000;RENT;3.0;DEBTCONSOLIDATION;B;20000;10.62;0.30;N
0;36000;RENT;1.0;PERSONAL;A;1000;7.68;0.03;N
0;75000;RENT;3.0;HOMEIMPROVEMENT;C;15000;13.48;0.20;Y
0;41196;MORTGAGE;7.0;EDUCATION;B;16000;11.83;0.39;N
1;31500;RENT;8.0;DEBTCONSOLIDATION;A;14850;8.90;0.47;N
0;96000;MORTGAGE;8.0;VENTURE;A;4200;5.99;0.04;N
0;60626;RENT;3.0;VENTURE;B;10000;10.74;0.16;N
0;48000;RENT;7.0;PERSONAL;A;9000;8.94;0.19;N
0;35000;RENT;1.0;EDUCATION;C;5700;12.99;0.16;N
0;55000;MORTGAGE;7.0;HOMEIMPROVEMENT;B;3500;10.65;0.06;N
0;63000;OTHER;2.0;DEBTCONSOLIDATION;A;4500;9.63;0.07;N
0;96000;RENT;7.0;EDUCATION;A;7300;8.49;0.08;N
0;189000;MORTGAGE;4.0;EDUCATION;A;5000;9.32;0.03;N
0;59000;OWN;18.0;EDUCATION;A;5500;7.90;0.09;N
0;38000;RENT;5.0;PERSONAL;A;7500;5.79;0.20;N
0;94800;MORTGAGE;7.0;DEBTCONSOLIDATION;C;6000;14.27;0.06;Y
0;60000;RENT;5.0;VENTURE;C;3000;15.62;0.05;N
0;30000;RENT;0.0;PERSONAL;B;1925;12.18;0.06;N
0;54000;MORTGAGE;2.0;DEBTCONSOLIDATION;A;6000;6.17;0.11;N
1;49000;MORTGAGE;7.0;PERSONAL;G;15000;19.82;0.31;N
0;30000;RENT;2.0;EDUCATION;B;8000;12.42;0.27;N
0;38168;RENT;5.0;PERSONAL;B;7500;9.76;0.20;N
0;40500;MORTGAGE;5.0;VENTURE;A;7475;5.42;0.18;N
1;74000;RENT;7.0;DEBTCONSOLIDATION;D;24250;15.31;0.33;Y
1;32000;MORTGAGE;1.0;DEBTCONSOLIDATION;D;10750;14.96;0.34;Y
0;43000;OWN;5.0;VENTURE;A;10000;7.51;0.23;N
0;54120;MORTGAGE;2.0;VENTURE;B;6000;11.36;0.11;N
0;74872;RENT;4.0;PERSONAL;A;15000;7.88;0.20;N
0;87000;MORTGAGE;4.0;PERSONAL;D;9000;16.00;0.10;N
0;45000;RENT;2.0;PERSONAL;C;4000;13.23;0.09;Y
0;38004;RENT;4.0;DEBTCONSOLIDATION;C;10000;13.61;0.26;N
0;162000;RENT;5.0;VENTURE;A;20000;6.99;0.12;N
0;50000;MORTGAGE;8.0;VENTURE;A;13700;6.03;0.27;N
0;59534;RENT;5.0;PERSONAL;D;15000;15.21;0.25;Y
0;70000;RENT;0.0;PERSONAL;B;4000;10.99;0.06;N
0;37000;MORTGAGE;6.0;MEDICAL;B;2500;10.37;0.07;N
0;20000;RENT;1.0;PERSONAL;A;3200;7.14;0.16;N
0;74000;RENT;3.0;PERSONAL;B;9000;10.00;0.12;N
0;76000;MORTGAGE;8.0;DEBTCONSOLIDATION;A;6000;8.90;0.08;N
1;54000;RENT;7.0;PERSONAL;B;5200;10.37;0.10;N
0;114000;RENT;17.0;HOMEIMPROVEMENT;B;6000;10.37;0.05;N
